location,indicator,subject,measure,frequency,time,health_spending_per_cap,Flag Codes,life_expect_birth,country
AUS,HEALTHEXP,TOT,USD_CAP,A,1971,223.592,,71.6,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1971,201.9619,,70.2,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1971,168.5058,D,71.2,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1971,324.0512,,72.9,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1971,364.5805,D,73.3,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1971,190.1923,,70.1,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1971,302.1459,,70.8,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1971,227.8839,D,73.7,Iceland
JPN,HEALTHEXP,TOT,USD_CAP,A,1971,157.0962,D,72.9,Japan
NOR,HEALTHEXP,TOT,USD_CAP,A,1971,156.7782,,74.4,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1971,54.6689,,66.4,Portugal
SWE,HEALTHEXP,TOT,USD_CAP,A,1971,302.6247,,74.8,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1971,392.4962,,73.3,Switzerland
GBR,HEALTHEXP,TOT,USD_CAP,A,1971,162.0258,,71.9,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1971,357.983,,71.2,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1972,239.1784,,72,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1972,222.2858,,70.6,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1972,191.5558,D,71.5,Belgium 
DNK,HEALTHEXP,TOT,USD_CAP,A,1972,397.7483,D,73.4,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1972,216.3275,,70.7,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1972,343.7003,,71,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1972,243.8671,D,74.5,Iceland
JPN,HEALTHEXP,TOT,USD_CAP,A,1972,179.3623,D,73.2,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1972,281.4789,,73.8,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1972,185.9515,,74.6,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1972,76.1216,,68.4,Portugal
SWE,HEALTHEXP,TOT,USD_CAP,A,1972,327.5264,,74.8,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1972,416.6092,,73.8,Switzerland
USA,HEALTHEXP,TOT,USD_CAP,A,1972,397.1014,,71.3,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1973,264.0303,,72.1,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1973,249.2017,,71.1,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1973,228.2962,D,71.7,Belgium 
DNK,HEALTHEXP,TOT,USD_CAP,A,1973,421.208,D,73.6,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1973,235.8708,,71.2,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1973,396.4314,,71.3,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1973,247.8772,D,74.6,Iceland
JPN,HEALTHEXP,TOT,USD_CAP,A,1973,196.173,D,73.4,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1973,313.6346,,74.2,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1973,210.1582,,74.7,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1973,96.4832,,67.5,Portugal
SWE,HEALTHEXP,TOT,USD_CAP,A,1973,356.8408,,75,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1973,455.9513,,74.1,Switzerland
USA,HEALTHEXP,TOT,USD_CAP,A,1973,439.3022,,71.5,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1974,322.3286,,71.9,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1974,295.0659,,71.1,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1974,262.2699,D,72.1,Belgium 
DNK,HEALTHEXP,TOT,USD_CAP,A,1974,494.7508,D,74,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1974,260.8435,,71.2,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1974,468.7214,,71.5,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1974,321.6482,D,74.6,Iceland
JPN,HEALTHEXP,TOT,USD_CAP,A,1974,228.7534,D,73.7,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1974,365.8162,,74.6,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1974,236.5434,,75.1,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1974,112.1765,,68.1,Portugal
